object,object_base,table,address,registers,offset,parameter,access,data_type,fw_3_2,fw_3_3,fw_3_4,description
Sentio ITC1,7300,HR,7322,1,22,Heat curve - parallel displacement,R/W,val_d2_fp100,YES,YES,YES,Shifts calculated temperature up/down
Sentio ITC1,7300,HR,7323,1,23,Heat curve - min inlet,R/W,val_d2_fp100,YES,YES,YES,Lowest possible temperature
Sentio ITC1,7300,HR,7324,1,24,Heat curve - max inlet,R/W,val_d2_fp100,YES,YES,YES,Highest possible temperature
Sentio ITC1,7300,HR,7325,1,25,Heat curve - gain,R/W,val_d2_fp10,YES,YES,YES,Static gain of desired temperature calculation
Sentio ITC1,7300,HR,7326,1,26,Return temp limiter -function,R/W,val_u1,YES,YES,YES,0 OFF 1 MIN 2 MAX
Sentio ITC1,7300,HR,7327,1,27,Return temp max limiter - Limit,R/W,val_d2_fp100,YES,YES,YES,Maximum allowed return temperature (limits inlet temperature)
Sentio ITC1,7300,HR,7328,1,28,Return temp max limiter - Gain,R/W,val_d2_fp10,YES,YES,YES,"Return limiter proportional gain. Use high value fast acting system, low value for slow acting system."
Sentio ITC1,7300,HR,7329,1,29,Return temp max limiter - Priority over inlet,R/W,val_u1,YES,YES,YES,"0 NO_PRIORITY 1 PRIORITY (return limiter can override ""Heat curve - min inlet"")"
Sentio ITC1,7300,HR,7330,1,30,Return temp min limiter - Limit,R/W,val_d2_fp100,YES,YES,YES,Minimal allowed return temperature (limits inlet temperature)
Sentio ITC1,7300,HR,7331,1,31,Return temp min limiter - Gain,R/W,val_d2_fp10,YES,YES,YES,"Return limiter proportional gain. Use high value fast acting system, low value for slow acting system."
